0: 62,1
1: 2,63,0
2: 1,63,3
3: 64,2
4: 65,5
5: 6,66,4
6: 5,66
7: 8,67
8: 7,67,9
9: 68,8
10: 69
11: 70,71
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 98,72,73
19: 20,74,73
20: 74,19
21: 75
22: 23,76
23: 24,77,22
24: 23,78
25: 78,80,79
26: 79,80
27: 28,81
28: 27,82
29: 82,30,83
30: 83,31,29
31: 84,30
32: 85,33
33: 86,32,85
34: 35,88,87
35: 36,88,34
36: 35,88,89
37: 90,89
38: 39,91,92
39: 38,93,92
40: 94,41,93
41: 42,40,94
42: 96,41
43: 97,96
44: 45,97
45: 44,97,98,72
46: 
47: 46,99,100
48: 99,100,101
49: 101
50: 102,51
51: 52,103,50
52: 51,103,104
53: 54,104,105
54: 53,105,55
55: 106,54
56: 106,107,108
57: 108,58
58: 59,57
59: 60,58
60: 59,109
62: 0
63: 1,2
64: 3,65
65: 4,64
66: 5,6
67: 7,8
68: 69,9
69: 68,10
70: 11
71: 12,11
72: 18,98,45
73: 18,74,19
74: 20,19,73
75: 21
76: 77,22
77: 23,76
78: 25,24
79: 26,25
80: 25,26
81: 27,109
82: 29,28
83: 30,29
84: 31,85
85: 32,84,33
86: 33,87
87: 86,34
88: 35,36,34
89: 36,37
90: 37,91
91: 92,38,90
92: 91,93,38,39
93: 40,92,39
94: 40,95,41
95: 42,41,94
96: 42,43
97: 44,45,43
98: 18,72,45
99: 48,100,47
100: 48,99,47
101: 49,48
102: 50
103: 51,52
104: 53,105,52
105: 53,54,104
106: 55,56
107: 56
108: 57,56
109: 60,81
