0: 147,176,217
1: 63,112,217
2: 63,3,117,112
3: 2,63,148,149,117
4: 64,65,150,177
5: 6,150,177,113
6: 5,113,195
7: 110,67,119,214,8
8: 9,7,214
9: 8,120,68,152,214
10: 121,69
11: 122,155
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 72,73,185,190
19: 123,178,74,185
20: 178,124
21: 124,75
22: 125
23: 24,179,126
24: 23,179,158,78,126
25: 78,80,127
26: 79,218,80,127
27: 28,128,180,81
28: 27,128
29: 82,83,129
30: 196,208,31
31: 84,197,203,208,196,30
32: 85,130,131,33
33: 187,131,32
34: 87,86,88,198
35: 36,88,164,198,181
36: 35,199,164,89
37: 188,132,165,89
38: 39,200,91,92
39: 38,133,166,92
40: 41,93,135,134,94
41: 135,40,168,167,94
42: 96,168,169,201
43: 189,136,96
44: 137
45: 137,98,138
46: 
47: 46,139,170,99
48: 140,171,101,100
49: 50,102,172,141,182
50: 49,172,51,141
51: 103,194,209,50
52: 103,194,183
53: 54,104,105,142
54: 53,143,144
55: 106,144,143
56: 106,206,107,210
57: 193,145,174
58: 115,59,145
59: 146,116,115,58
60: 146,109
62: 176,147,218
63: 1,2,3,148,112
64: 149,118,65,4
65: 118,64,4,150
66: 195,184,119
67: 7,110,151
68: 153,152,207,9
69: 153,152,10,121
70: 11,122,154
71: 13,12,155
72: 18,98,190,138
73: 18,185
74: 19,178,186,185
75: 156,21,124
76: 77,125,157
77: 125,179,158,76
78: 25,24,159,158
79: 26,160,127
80: 25,127,161,26,218
81: 27,128,162,202
82: 29,162,128
83: 29,114,163,208
84: 31,85,197,203
85: 32,84,131,215
86: 87,187,34
87: 86,187,204,34
88: 35,164,198,34
89: 165,37,36
90: 188,91,200,132
91: 92,216,38,200,90
92: 91,211,38,39
93: 40,166
94: 134,167,41,40
95: 167,168,169
96: 42,169,201,43
97: 138,189
98: 72,190,138,45
99: 191,47,139,170
100: 101,48,170
101: 100,48,171
102: 49,172
103: 51,52,194,173
104: 53,105,142,192,183
105: 53,104,192,205
106: 55,56,144,206
107: 174,210,56
108: 193,210
109: 146,60,175
110: 7,67,214,207
111: 194
112: 212,1,2,63
113: 195,184,5,6,177
114: 208,203,83
115: 59,116,145,58
116: 59,146,115,213
117: 118,2,3
118: 149,64,65,117
119: 7,66
120: 9,152
121: 10,154,69
122: 11,70,155,12
123: 19
124: 21,75,20,178
125: 77,179,22,76
126: 23,24
127: 25,80,26,79,160
128: 27,28,81,82,162
129: 29
130: 32
131: 215,33,187,32,85
132: 90,37,188
133: 39,166
134: 94,166,40
135: 41,40
136: 43,169
137: 44,189,45
138: 97,98,72,45
139: 46,47,99
140: 48,191,171
141: 182,50,49
142: 53,104
143: 54,55,144
144: 55,106,206,54,143
145: 57,193,115,58
146: 59,116,109,60
147: 161,0,62,218
148: 63,3
149: 118,64,3
150: 5,177,65,4
151: 67
152: 69,68,153,9,120
153: 69,68,152
154: 70,121
155: 11,122,12,71
156: 75
157: 76
158: 24,159,77,179,78
159: 158,78
160: 79,127
161: 147,218,80
162: 82,128,81
163: 83
164: 35,36,88,199
165: 89,37
166: 134,93,39,133
167: 95,168,41,94
168: 42,95,167,41
169: 42,96,136,95
170: 47,100,99
171: 48,140,182,101
172: 50,102,49
173: 103
174: 57,107,193,210
175: 202,109
176: 62,217,0
177: 5,150,113,4
178: 20,19,74,124
179: 23,24,77,125,158
180: 27,202
181: 35,198
182: 141,49,171
183: 52,104,192
184: 66,113,195
185: 18,73,19,74
186: 74
187: 33,87,86,131
188: 90,37,132
189: 43,137,97
190: 18,98,72
191: 99,140
192: 104,105,183
193: 57,145,174,210,108
194: 51,52,103,111
195: 66,113,184,6
196: 30,31,197
197: 31,84,196
198: 35,88,181,34
199: 36,164
200: 38,91,90
201: 42,96
202: 175,180,81
203: 31,84,114
204: 87
205: 105
206: 56,106,144
207: 68,110,214
208: 114,31,83,30
209: 51
210: 107,193,174,108,56
211: 92,216
212: 112
213: 116
214: 7,110,207,9,8
215: 131,85
216: 91,211
217: 176,1,0
218: 26,62,161,147,80
