0: 250,279,217,147,275
1: 63,347,356,176,217
2: 63,3,117,327,112
3: 2,63,339,149,335,117
4: 64,280,302,177,276
5: 6,219,340,353
6: 5,219,340,113,195,360
7: 110,67,303,358,214,119,8
8: 9,7,358,214
9: 8,120,68,152,214
10: 257,69,266
11: 155,257,281
12: 13,71
13: 
14: 
15: 
16: 
17: 
18: 72,73,185,288,337
19: 20,123,178,329,185
20: 19,178,282
21: 124,223,75
22: 156,224
23: 126,24,314
24: 158,179,271,314,78,126,23
25: 78,341,270,357
26: 79,231,218,127,287
27: 28,128,180,375,342,366
28: 27,128,258,163
29: 316,129,83,354,232
30: 196,371,208,31,354
31: 84,338,197,208,373,30,371
32: 33,343,131,355
33: 343,330,32
34: 87,330,204,346,198,344
35: 36,88,198,164,89,181
36: 35,164,89,272,199,325
37: 325,332,132,225,239
38: 39,298,91,92,200
39: 38,133,166,240,92
40: 41,135,233,134,94
41: 135,40,241,168,367,167
42: 96,168,201,254,263,299,367
43: 189,137,283,305,263
44: 137,226,284,305
45: 189,137,284,98,138
46: 
47: 259,170,99,255
48: 171,315,376,101,264,292
49: 50,273,285,141,182
50: 49,273,260,141,310
51: 103,194,209,256,260,310
52: 103,194,183,111,359
53: 104,105,142,286,268
54: 286,306,309
55: 106,144,227,293,143
56: 206,107,293,210,304
57: 174,363,377
58: 221,108,59,220,115
59: 220,115,334,361,349,58
60: 261,277,146,109
62: 176,147,275,287
63: 1,2,3,347,339,356,112
64: 149,118,335,4,244,302
65: 118,280,302,245,328
66: 195,184,369,374
67: 7,303,119,360,374
68: 152,322,207,9,214
69: 153,152,319,10,121,257,120
70: 11,122,154
71: 13,228,295
72: 18,185,337,123,345
73: 18,329,185,288,186
74: 124,278,186,178,329
75: 21,124,223,229,282
76: 77,125,249,223
77: 323,125,179,249,230,76
78: 25,341,270,24,158,271
79: 26,160,231,127
80: 357,161,250,218
81: 202,251,372,180,375,366
82: 316,128,366,251,162
83: 29,163,252,232
84: 31,364,338,289,308
85: 364,289,355,131
86: 370,262,344,346,187
87: 330,204,34,300
88: 35,198,164,262,344
89: 35,36,181,225,331
90: 188,332,91,216,200,239
91: 92,211,216,38,90,200
92: 91,211,38,39,166
93: 135,233
94: 134,167,365,40
95: 350,333
96: 42,169,254,263,283
97: 138,317,189
98: 337,290,190,138,345,45,284
99: 47,139,259,170,291,315
100: 101,264,255
101: 100,264,292,48
102: 172,234
103: 51,52,194,173,183,256
104: 53,105,142,307,183,359
105: 53,104,268,205,301,307
106: 55,107,293,235
107: 56,106,293,235,210,274
108: 221,58,304
109: 146,361,349,60,277,202,175
110: 7,303,214,207
111: 52,194,265
112: 212,2,63,347
113: 195,184,6,177,219,276
114: 348,203,373,338
115: 59,334,222,145,221,58
116: 146,334,349,213,261,313
117: 318,118,335,2,3,327
118: 64,65,335,302,318,328,117
119: 7,67,358,374
120: 9,266,69,152
121: 154,257,281,69,319
122: 70,155,281,12,228
123: 19,236,72,185
124: 21,75,74,178,282
125: 77,179,314,76,224
126: 267,23,24,271
127: 26,79,160,218,341,357
128: 27,28,366,82,316
129: 29,316,237,354
130: 289,308,355,238
131: 215,370,352,343,32,85,355
132: 165,225,239,37
133: 39,240
134: 94,240,40,233,166
135: 41,93,40,233,241
136: 283,305,242,169
137: 44,43,189,45,284,305
138: 97,345,98,189,45
139: 46,259,99,291,294
140: 191,320,376
141: 182,310,321,368,50,49
142: 53,104,243,173,183
143: 55,144,227,306,286,268
144: 55,206,293,143,306,309
145: 193,363,377,222,115,221
146: 116,109,349,60,261
147: 62,275,287,0,250,218
148: 269,339,356
149: 64,335,244,3,269,339
150: 219,245,353,280
151: 246,303
152: 69,68,153,322,9,120
153: 69,152,319,322
154: 70,121,247
155: 11,122,281,295
156: 22,248,229
157: 249
158: 323,24,179,159,78,270
159: 323,158,270
160: 79,127,341,271
161: 250,80
162: 82,251
163: 252,28,83
164: 35,36,88,262,272
165: 132,225,253
166: 39,233,134,240,92
167: 94,365,367,350,41
