0: 275,250,279
1: 217,347,63,356
2: 3,112,63
3: 2,117
4: 177,302,276,280
5: 6,219,353
6: 5,195,113,360
7: 67,110,8,303
8: 7,214,9
9: 214,68,8
10: 266
11: 155
12: 122,71
13: 
14: 
15: 
16: 
17: 
18: 185,73,337,288
19: 178,185,123,20
20: 19,178
21: 75,124
22: 
23: 24,126,314
24: 126,158,179,23
25: 270
26: 127,79,287
27: 180,375,28
28: 258,27
29: 
30: 208
31: 84,373
32: 33
33: 343,32
34: 198,344
35: 36,88
36: 35,199,89,325
37: 132,225,239,325
38: 92,91,39,200
39: 166,92,133,38
40: 41,134,233,94
41: 40,241,135,367
42: 96,201,299,168
43: 305,263,283,137
44: 380
45: 189,138,284,137
46: 259
47: 170,99,255
48: 315,264,101
49: 273,50,141,285
50: 49,310
51: 103,194,209
52: 111,103,194,359
53: 142,105,104,268
54: 286,309
55: 306,293
56: 210,293
57: 174
58: 59,221,115,220
59: 115,58,349,361
60: 261,277,146
62: 176
63: 2,1,112,347
64: 118
65: 328
66: 369
67: 7,119
68: 152,9,207
69: 257,152,319,121
70: 122,281
71: 12,295
72: 
73: 185,18,329,186
74: 124,186
75: 223,21,282
76: 125,249
77: 125,179,249
78: 271
79: 26,127
80: 
81: 
82: 251
83: 252,163,232
84: 289,338,31,308
85: 131,364
86: 
87: 204
88: 262,344,164,35
89: 36
90: 216,200,91,188
91: 38,200,92,90
92: 39,38,91,211
93: 
94: 40,167
95: 350
96: 254,263,42,169
97: 317,189
98: 138,284
99: 259,47,315,139
100: 264,101
101: 292,100,48
102: 172
103: 52,194,51,256
104: 142,105,53,307
105: 53,104,205,301
106: 107
107: 106,210,293
108: 221
109: 277
110: 7,207,214,303
111: 265,52
112: 2,347,63,327
113: 177,219,6,184
114: 
115: 221,59,145,58
116: 261,313,146,349
117: 318,3
118: 64,328,302
119: 67,374
120: 266,152
121: 257,69
122: 12,70,281
123: 19
124: 178,21,74,282
125: 76,224,77,314
126: 24,267,271,23
127: 26,357,79
128: 366
129: 316
130: 289,355
131: 215,85,370
132: 37,225,239,165
133: 240,39
134: 166,233,40
135: 241,41
136: 169,305
137: 45,189,43
138: 98,45,189,345
139: 99,294
140: 320,191
141: 49,368,310
142: 104,53,173
143: 306,268,144,286
144: 143,206,293,309
145: 221,115
146: 261,60,116,349
147: 218,250,275,287
148: 
149: 335,339
150: 280,245
151: 
152: 69,68,322,120
153: 322
154: 
155: 295,11,281
156: 248,229
157: 
158: 24,323,270
159: 270
160: 271
161: 250
162: 251
163: 83,252
164: 88
165: 132,253,225
166: 134,39
167: 94
168: 299,241,367,42
169: 136,283,96
170: 255,47
171: 376,292
172: 102,265,273
173: 256,183,142,393
174: 235,274,57
175: 361,336
176: 62,217
177: 276,4,113
178: 19,282,124,20
179: 77,24,323
180: 27,375
181: 
182: 
183: 173
184: 113
185: 19,18,73
186: 278,74,73
187: 370
188: 325,90
189: 45,138,137,97
190: 337,290
191: 315,296,320,140
192: 307,359
193: 377
194: 51,52,103,260
195: 6
196: 
197: 
198: 344,34
199: 36,325
200: 91,38,90,239
201: 42,299
202: 382
203: 338
204: 300,87
205: 105,301
206: 144
207: 110,68,214
208: 30
209: 51,310
210: 107,274,56,304
211: 92,311
212: 327,312
213: 313,261
214: 8,207,9,110
215: 131,370,352
216: 90
217: 1,279,275,176
218: 287,147,357
219: 113,5,353
220: 58
221: 115,145,58,108
222: 334,362
223: 75
224: 125
225: 132,37,165,331
226: 
227: 387
228: 295
229: 248,156,282
230: 249
231: 
232: 83,252,373,348
233: 40,134,381
234: 292
235: 274,174
236: 
237: 
238: 
239: 132,37,200
240: 133
241: 135,299,41,168
242: 392
243: 
244: 
245: 150,280,328
246: 360,340
247: 319
248: 229,156
249: 230,76,77
250: 147,0,161
251: 162,82
252: 163,232,83,348
253: 165
254: 96
255: 170,264,47
256: 103,173
257: 69,121
258: 28
259: 46,99
260: 194,265,310,273
261: 60,146,116,213
262: 88
263: 283,96,43
264: 255,315,100,48
265: 111,273,260,172
266: 10,120
267: 126
268: 143,286,53
269: 339
270: 159,25,158
271: 160,126,78
272: 297
273: 49,265,260,172
274: 210,174,235
275: 147,217,0
276: 177,4
277: 60,109
278: 186
279: 217,0
280: 150,4,302,245
281: 122,155,70
282: 178,75,229,124
283: 263,169,43,305
284: 98,45,290
285: 292,49
286: 54,268,143,306
287: 147,218,26
288: 18
289: 84,130,308,355
290: 284,190
291: 294,296
292: 101,234,285,171
293: 55,56,144,107
294: 291,139
295: 228,71,155
296: 320,191,291
297: 272
298: 
299: 241,201,42,168
300: 204
301: 105,205
302: 4,280,118
303: 110,7
304: 210
305: 43,136,283
306: 55,143,286,309
307: 192,104
308: 289,84
309: 54,144,306
310: 260,50,141,209
311: 326,211
312: 212
313: 213,116
314: 125,23
315: 264,48,99,191
316: 129
317: 97
318: 328,117
319: 247,69
320: 296,140,191
321: 
322: 152,153
323: 179,158
324: 351
325: 37,199,188,36
326: 311
327: 212,112
328: 318,65,118,245
329: 73
330: 346,343
331: 225
332: 
333: 350
334: 222,362
335: 149
336: 372,175
337: 18,190
338: 84,373,203
339: 269,356,149
340: 246
341: 
342: 
343: 33,330
344: 198,88,34,346
345: 138
346: 330,344
347: 1,112,63
348: 232,252
349: 59,116,361,146
350: 333,95,365
351: 324
352: 364,215
353: 5,219
354: 
355: 130,289
356: 339,1
357: 218,127
358: 
359: 52,192
360: 246,6
361: 175,59,349
362: 334,222
363: 
364: 85,352
365: 350
366: 128
367: 41,168
368: 141
369: 66
370: 187,215,131
371: 
372: 336
373: 338,31,232
374: 119
375: 180,27
376: 171
377: 193
378: 
379: 
380: 44
381: 233
382: 202
383: 
384: 
385: 
386: 
387: 227
388: 
389: 
390: 
391: 
392: 242
393: 173
394: 
